code,name,description,refreshed_at,from_date,to_date
GLJ_X,Grenkeleasing (GLJ_X),"Stock Prices for Grenkeleasing Ag from the Frankfurt Stock Exchange. Trading System: Xetra. The GRENKE GroupThe GRENKE Group is a broadly diversified provider of IT-based services in Small-Ticket-IT-Leasing, Factoring and Banking for small and medium-sized companies. In addition, the GRENKE Bank offers its classic online services also to private customers.The GRENKE Group is independent of vendors and banks and holds a leading market position in Europe in the field of small-ticket IT leasing for products such as PCs, notebooks, copiers, printers, or software of relatively low asset value. The GRENKE Group operates in 27 countries and employs more than 800 staff.GRENKELEASING AG is listed in the Prime Standard of the Frankfurt Stock Exchange and is included in the SDAX. GRENKELEASING AG shares are listed in the SDAX on the Frankfurt Stock Exchange with the code GLJ, ISIN DE0005865901.Information on the GRENKE Group and its products is available at http://www.grenke.de",2016-05-12 20:21:53,2000-04-04,2016-05-12
GMM_X,Grammer (GMM_X),Stock Prices for Grammer (GMM) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE0005895403,2019-04-12 22:53:20,2000-01-06,2019-04-12
GSC1_X,Gesco (GSC1_X),Stock Prices for Gesco (GSC1) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE000A1K0201,2019-04-12 22:53:20,2000-01-10,2019-04-12
GWI1_X,Gerry Weber International (GWI1_X),Stock Prices for Gerry Weber International (GWI1) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE0003304101,2019-04-12 22:53:20,2000-10-24,2019-04-12
GXI_X,Gerresheimer (GXI_X),Stock Prices for Gerresheimer (GXI) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE000A0LD6E6,2019-04-12 22:53:20,2007-06-11,2019-04-12
HAB_X,Hamborner Reit AG (HAB_X),Stock Prices for Hamborner Reit AG (HAB) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE0006013006,2019-04-12 22:53:25,2014-02-26,2019-04-12
HAW_X,Hawesko Holding (HAW_X),Stock Prices for Hawesko Holding (HAW) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE0006042708,2019-04-12 22:53:25,2000-01-03,2019-04-12
HBH3_X,Hornbach Holding Ag (HBH3_X),"Stock Prices for Hornbach Holding Ag from the Frankfurt Stock Exchange. Trading System: Xetra. The HORNBACH HOLDING AG Group (ISIN DE0006083439, WKN 60834) is one of Europe's largest operators of DIY megastores with garden centers. In addition to the largest operating subgroup, HORNBACH-Baumarkt-AG (DIY megastores with garden centers), the overall HORNBACH HOLDING AG Group also comprises the subgroups HORNBACH Baustoff Union GmbH (regional builders' merchant and construction materials business) and HORNBACH Immobilien AG (real estate and location development). The HORNBACH DIY megastores with garden centers have an average size of more than 11,000 square meters, a figure unmatched by any other competitor in Europe.The HORNBACH Group generated sales of EUR 3.2 billion in the 2011/2012 financial year (March 1, 2011 to February 29, 2012). This is equivalent to growth of 6.2% on the previous year. The HORNBACH-Baumarkt-AG subgroup increased its net sales by 5.8% to EUR 3.0 billion. The international stores contributed 42.4% of total DIY store sales.As of end-February 2012, HORNBACH operates 134 DIY megastores with garden centers in nine countries, of which 91 stores are in Germany. The 43 international stores are located in Austria, the Netherlands, the Czech Republic, Luxembourg, Switzerland, Sweden, Slovakia and Romania. More than 14,000 individuals are now employed at the HORNBACH Group.HORNBACH's sales concept and product range are entirely tailored to the needs of project and professional customers. HORNBACH guarantees its customers permanently low prices and is thus the price leader in the sector. The high quality of advice and excellent service provided by the company have been attested in numerous independent tests and studies.Pioneering achievements, such as the first combined DIY store with a garden center (1968), the first megastore (1980) and the first DIY store with a drive-in facility (2003), provide proof of HORNBACH's ongoing innovative power. Since 2001, a strategic partnership has been in place with the British retail group Kingfisher. Founded in 1877, the family-run company was publicly listed in 1987.",2015-10-17 01:08:43,2000-01-03,2015-10-16
HDD_X,Heidelberger Druckmaschinen (HDD_X),Stock Prices for Heidelberger Druckmaschinen (HDD) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE0007314007,2019-04-12 22:53:25,2000-01-18,2019-04-12
HEI_X,Heidelbergcement (HEI_X),Stock Prices for Heidelbergcement (HEI) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE0006047004,2019-04-12 22:53:25,2000-01-18,2019-04-12
